date,RHOA
2024-04-01 23:00:00,29.241715671938735
2024-04-02 01:00:00,29.265823441915707
2024-04-02 03:00:00,29.29834169867999
2024-04-02 11:00:00,29.269059406411728
2024-04-02 13:00:00,29.211905234951324
2024-04-02 15:00:00,29.256904385720965
2024-04-02 17:00:00,29.309446551730368
2024-04-02 19:00:00,29.369905159925107
2024-04-02 21:00:00,29.405795836841605
2024-04-02 23:00:00,29.417822055482453
2024-04-03 01:00:00,29.447692327527207
2024-04-03 03:00:00,29.486287092483902
2024-04-03 11:00:00,29.55663153235291
2024-04-03 13:00:00,29.622396854018483
2024-04-03 15:00:00,29.73561047145167
2024-04-03 17:00:00,29.840893040364065
2024-04-03 19:00:00,29.886932494516167
2024-04-03 21:00:00,29.926346355462744
2024-04-03 23:00:00,29.957401291414993
